Día,Mes,Año,Dolar_Compra,Dolar_Venta,EBORU_Dolar_Compra,EBORU_Dolar_Venta,Euro_Compra,Euro_Venta,Arg_Compra,Arg_Venta,Br_Compra,Br_Venta
22,Feb,2018,28.02,28.92,28.21,28.73,33.71,36.68,1.05,1.75,7.95,9.15
23,Feb,2018,28.01,28.91,28.2,28.72,33.7,36.66,1.04,1.74,7.95,9.15
26,Feb,2018,27.89,28.89,28.13,28.64,33.47,36.55,1.04,1.74,7.95,9.15
27,Feb,2018,27.82,28.82,28.06,28.57,33.42,36.5,1.02,1.72,7.93,9.13
28,Feb,2018,27.82,28.82,28.06,28.58,33.24,36.29,1.02,1.72,7.92,9.12
1,Mar,2018,27.82,28.82,28.08,28.55,33.15,36.19,1.02,1.72,7.93,9.13
2,Mar,2018,27.88,28.88,28.13,28.65,33.2,36.25,1.02,1.72,7.88,9.08
5,Mar,2018,27.9,28.9,28.14,28.66,33.56,36.64,1.02,1.72,7.92,9.12
6,Mar,2018,27.84,28.84,28.08,28.59,33.5,36.58,1.02,1.72,7.92,9.12
7,Mar,2018,27.95,28.65,28.11,28.52,33.85,36.58,1.01,1.71,8,9.2
8,Mar,2018,27.98,28.68,28.07,28.58,33.87,36.61,1.01,1.71,7.93,9.13
9,Mar,2018,28.01,28.71,28.16,28.57,33.65,36.35,1.01,1.71,7.88,9.08
12,Mar,2018,28,28.7,28.16,28.573,33.65,36.35,1.02,1.72,7.91,9.11
13,Mar,2018,28.02,28.72,28.17,28.58,33.74,36.45,1.02,1.72,7.9,9.1
14,Mar,2018,28.02,28.72,28.16,28.58,33.91,36.64,1.02,1.72,7.9,9.1
15,Mar,2018,28,28.7,28.14,28.55,33.81,36.53,1.02,1.72,7.88,9.08
16,Mar,2018,28.04,28.74,28.19,28.6,33.67,36.37,1.01,1.71,7.82,9.02
19,Mar,2018,28.06,28.76,28.21,28.62,33.64,36.34,1.02,1.72,7.85,9.05
20,Mar,2018,28.08,28.78,28.22,28.64,33.86,36.59,1.02,1.72,7.85,9.05
21,Mar,2018,28.1,28.8,28.25,28.66,33.61,36.3,1.02,1.72,7.8,9
22,Mar,2018,28.12,28.82,28.25,28.66,33.86,36.58,1.02,1.72,7.89,9.09
23,Mar,2018,28.03,28.73,28.18,28.59,33.66,36.36,1.02,1.72,8.28,9.28
2,Abr,2018,27.84,28.84,28.13,28.55,33.45,36.53,1.02,1.72,8.28,9.28
3,Abr,2018,27.82,28.82,28.11,28.52,33.4,36.47,1.02,1.72,8.32,9.32
4,Abr,2018,27.75,28.75,28.04,28.46,33.23,36.29,1.02,1.72,8.26,9.26
5,Abr,2018,27.8,28.8,28.09,28.5,33.32,36.38,1.02,1.72,8.09,9.09
6,Abr,2018,27.75,28.75,28.03,28.45,33.14,36.19,1.02,1.72,8.07,9.07
9,Abr,2018,27.8,28.8,28.09,28.5,33.34,36.41,1.02,1.72,8,9
10,Abr,2018,27.77,28.77,28.06,28.47,33.4,36.47,1.02,1.72,7.93,8.93
11,Abr,2018,27.73,28.73,28.02,28.44,33.45,36.54,1.02,1.72,7.9,8.9
12,Abr,2018,27.78,28.78,28.07,28.48,33.52,36.61,1.02,1.72,7.98,8.98
13,Abr,2018,27.78,28.78,28.07,28.49,33.43,36.51,1.02,1.72,7.93,8.93
16,Abr,2018,27.76,28.76,28.05,28.46,33.42,36.5,1.02,1.72,7.86,8.86
17,Abr,2018,27.77,28.77,28.05,28.46,33.55,36.64,1.02,1.71,7.87,8.87
18,Abr,2018,27.75,28.75,28.05,28.46,33.49,36.58,1.02,1.72,7.91,8.91
19,Abr,2018,27.72,28.72,28.02,28.43,33.48,36.57,1.02,1.72,7.97,8.97
20,Abr,2018,27.71,28.71,28,28.42,33.38,36.47,1.02,1.72,7.93,8.93
24,Abr,2018,27.58,28.68,27.87,28.38,33.06,36.23,1.01,1.71,7.86,8.86
25,Abr,2018,27.69,28.79,27.96,28.5,33.07,36.24,1.01,1.71,7.75,8.75
26,Abr,2018,27.81,28.91,28.1,28.62,33.05,36.21,1.02,1.72,7.72,8.72
27,Abr,2018,27.9,29,28.18,28.73,32.95,36.1,1,1.7,7.78,8.78
30,Abr,2018,27.9,29,28.27,28.64,32.97,36.12,0.98,1.68,7.82,8.82
2,May,2018,28.02,29.22,28.35,28.9,33.03,36.3,1.01,1.71,7.77,8.77
3,May,2018,28.33,29.53,28.68,29.19,33.12,36.4,0.98,1.68,7.77,8.77
4,May,2018,28.75,29.95,29.07,29.64,33.65,36.95,0.94,1.64,7.94,8.94
7,May,2018,28.6,29.8,28.93,29.49,33.37,36.65,0.96,1.66,7.9,8.9
8,May,2018,28.85,30.05,29.18,29.75,33.57,36.86,0.96,1.66,7.89,8.89
9,May,2018,29.6,30.8,29.7,30.7,34.27,37.58,0.96,1.66,8.06,9.06
10,May,2018,29.75,30.95,30.03,30.67,34.43,37.76,0.96,1.66,8.03,9.03
11,May,2018,29.48,30.68,29.8,30.36,34.3,37.63,0.95,1.65,8.09,9.09
14,May,2018,29.65,30.85,29.94,30.55,34.57,37.91,0.93,1.63,7.99,8.99
15,May,2018,30.1,31.3,30.35,31.05,35.09,38.45,0.85,1.55,8.08,9.08
16,May,2018,30.4,31.8,30.75,31.4,35.14,38.73,0.92,1.62,8.1,9.1
17,May,2018,30.2,31.6,30.55,31.25,34.79,38.37,0.9,1.6,7.99,8.99
18,May,2018,30.55,31.95,30.93,31.55,35.18,38.77,0.91,1.61,8.04,9.04
22,May,2018,30.7,32.1,31.07,31.7,35.28,38.88,0.91,1.61,7.99,8.99
23,May,2018,30.6,32,31.02,31.57,35.18,38.77,0.91,1.61,8.22,9.22
24,May,2018,30.54,31.94,30.96,31.51,34.86,38.43,0.9,1.6,8.17,9.17
25,May,2018,30.56,31.96,30.98,31.54,34.97,38.54,0.9,1.6,8.13,9.13
28,May,2018,30.54,31.94,30.96,31.53,30.54,31.94,0.89,1.59,8.09,9.09
29,May,2018,30.47,31.87,30.89,31.45,34.57,38.12,0.88,1.58,7.93,8.93
30,May,2018,30.4,31.8,30.82,31.39,34.2,37.71,0.88,1.58,7.87,8.87
31,May,2018,30.35,31.75,30.74,31.34,34.53,38.08,0.87,1.57,7.87,8.87
1,Jun,2018,30.45,31.85,30.86,31.42,34.73,38.29,0.87,1.57,7.93,8.93
4,Jun,2018,30.48,31.88,30.9,31.46,34.68,38.24,0.87,1.57,7.85,8.85
5,Jun,2018,30.45,31.85,30.9,31.37,34.82,38.39,0.87,1.57,7.83,8.83
6,Jun,2018,30.37,31.77,30.79,31.36,34.71,38.27,0.87,1.57,7.74,8.74
7,Jun,2018,30.35,31.75,30.73,31.37,34.86,38.45,0.87,1.57,7.7,8.7
8,Jun,2018,30.75,32.15,31.15,31.72,35.43,39.04,0.88,1.58,7.61,8.61
11,Jun,2018,30.57,31.97,30.98,31.56,35.11,38.7,0.86,1.56,7.98,8.98
12,Jun,2018,30.58,31.98,30.99,31.56,35.17,38.77,0.83,1.53,7.96,8.96
13,Jun,2018,30.6,32,31.05,31.56,35.1,38.68,0.84,1.54,7.99,8.99
14,Jun,2018,30.7,32.1,31.12,31.67,35.3,38.89,0.83,1.53,8.02,9.02
15,Jun,2018,30.9,32.3,31.33,31.9,34.97,38.54,0.76,1.46,7.89,8.89
18,Jun,2018,31.05,32.45,31.44,32.07,35.17,38.74,0.75,1.45,8.1,9.1
20,Jun,2018,30.9,32.3,31.32,31.87,35.03,38.6,0.77,1.47,7.99,8.99
21,Jun,2018,31.04,32.44,31.47,32.02,35.1,38.66,0.77,1.47,7.97,8.97
22,Jun,2018,30.86,32.26,31.24,31.88,34.99,35.55,0.78,1.48,7.95,8.95
25,Jun,2018,30.75,32.15,31.14,31.76,35,38.57,0.79,1.49,7.91,8.91
26,Jun,2018,30.68,32.08,31.06,31.7,35.06,38.63,0.79,1.49,7.88,8.88
27,Jun,2018,30.55,31.95,30.93,31.55,34.74,38.29,0.78,1.48,7.81,8.81
28,Jun,2018,30.65,32.05,31.03,31.67,34.56,38.09,0.77,1.47,7.67,8.67
29,Jun,2018,30.6,32,30.99,31.62,34.52,38.05,0.75,1.45,7.68,8.68
2,Jul,2018,30.79,32.19,31.18,31.8,35.08,38.64,0.72,1.42,7.73,8.73
3,Jul,2018,30.9,32.3,31.26,31.9,35.02,38.59,0.75,1.45,7.76,8.76
4,Jul,2018,30.75,32.15,31.14,31.76,34.98,38.55,0.76,1.46,7.72,8.72
5,Jul,2018,30.7,32.1,31.05,31.73,34.96,38.52,0.75,1.45,7.7,8.7
6,Jul,2018,30.72,32.12,31.1,31.74,35.03,38.61,0.75,1.45,7.71,8.71
9,Jul,2018,30.77,32.17,31.11,31.82,35.27,38.86,0.76,1.46,7.72,8.72
10,Jul,2018,30.68,32.08,31.07,31.69,35.18,38.77,0.75,1.45,7.7,8.7
11,Jul,2018,30.58,31.98,30.96,31.59,35.05,38.63,0.77,1.47,7.67,8.67
12,Jul,2018,30.67,32.07,31.06,31.67,34.95,38.52,0.77,1.47,7.66,8.66
13,Jul,2018,30.65,32.05,31.05,31.67,34.91,38.47,0.78,1.48,7.62,8.62
16,Jul,2018,30.58,32.08,30.85,31.79,34.85,38.53,0.78,1.48,7.69,8.69
17,Jul,2018,30.5,32,30.88,31.6,34.87,38.56,0.77,1.47,7.66,8.66
19,Jul,2018,30.46,31.86,30.85,31.48,34.67,38.23,0.76,1.46,7.67,8.67
20,Jul,2018,30.5,31.9,30.89,31.5,34.66,38.21,0.75,1.45,7.64,8.64
23,Jul,2018,30.33,31.73,30.57,31.49,34.71,38.28,0.75,1.45,7.79,8.79
24,Jul,2018,30.35,31.75,30.74,31.36,34.62,38.18,0.75,1.45,7.77,8.77
25,Jul,2018,30.2,31.6,30.6,31.22,34.43,37.98,0.75,1.45,7.82,8.82
26,Jul,2018,30.03,31.43,30.42,31.04,34.3,37.84,0.75,1.45,7.61,8.61
27,Jul,2018,30.03,31.43,30.42,31.04,34.13,37.65,0.75,1.45,7.54,8.54
30,Jul,2018,29.98,31.38,30.36,30.99,34.11,37.63,0.75,1.45,7.58,8.58
31,Jul,2018,29.85,31.25,30.24,30.86,34.11,37.64,0.75,1.45,7.52,8.52
1,Ago,2018,29.85,31.25,30.25,30.86,34.07,37.6,0.74,1.44,7.46,8.46
2,Ago,2018,29.85,31.25,30.25,30.87,33.98,37.5,0.74,1.44,7.47,8.47
3,Ago,2018,30.05,31.45,30.45,31.07,33.99,37.49,0.75,1.45,7.51,8.51
6,Ago,2018,29.55,30.95,29.93,30.55,33.33,36.8,0.74,1.44,7.44,8.44
7,Ago,2018,29.55,30.95,29.93,30.55,33.33,36.8,0.74,1.44,7.44,8.44
8,Ago,2018,29.4,30.8,29.8,30.42,33.27,36.74,0.73,1.43,7.34,8.34
9,Ago,2018,29.55,30.95,29.95,30.58,33.5,36.99,0.73,1.43,7.36,8.36
10,Ago,2018,30,31.4,30.4,31.03,33.79,37.27,0.72,1.42,7.42,8.42
13,Ago,2018,30.45,31.85,30.8,31.53,33.88,37.35,0.7,1.4,7.38,8.38
14,Ago,2018,30.85,32.25,31.25,31.9,34.29,37.78,0.69,1.39,7.4,8.4
15,Ago,2018,30.66,32.06,31.01,31.75,33.93,37.41,0.69,1.39,7.45,8.45
16,Ago,2018,30.85,32.25,31.25,31.86,34.18,37.67,0.69,1.39,7.43,8.43
17,Ago,2018,30.76,32.16,31.15,31.77,34.13,37.61,0.69,1.39,7.39,8.39
20,Ago,2018,30.87,32.27,31.25,31.89,30.87,32.27,0.69,1.39,7.38,8.38
21,Ago,2018,31.05,32.45,31.45,32.07,34.75,38.28,0.7,1.4,7.36,8.36
22,Ago,2018,31.13,32.53,31.42,32.24,35.16,38.72,0.69,1.39,7.26,8.26
23,Ago,2018,31.13,32.53,31.42,32.24,35.16,38.72,0.69,1.39,7.26,8.26
24,Ago,2018,31.28,32.68,31.76,32.18,35.22,38.79,0.68,1.38,7.13,8.13
27,Ago,2018,31.2,32.6,31.57,32.19,35.4,39,0.67,1.37,7.13,8.13
28,Ago,2018,31.08,32.48,31.47,32.08,35.42,39.02,0.66,1.36,7.13,8.13
29,Ago,2018,31.23,32.63,31.63,32.24,35.65,39.26,0.65,1.35,7.07,8.07
30,Ago,2018,31.37,32.77,31.76,32.38,35.83,39.46,0.63,1.23,7.14,8.14
31,Ago,2018,31.55,32.95,31.9,32.64,35.9,39.53,0.52,1.12,7.1,8.1
3,Set,2018,31.65,33.05,31.95,32.78,35.84,39.46,0.56,1.16,7.3,8.3
4,Set,2018,31.76,33.16,32.15,32.77,36,39.63,0.54,1.14,7.18,8.18
5,Set,2018,32.05,33.45,32.44,33.05,36.21,39.84,0.53,1.13,7.3,8.3
6,Set,2018,32.05,33.56,32.56,33.2,36.48,40.13,0.54,1.14,7.38,8.38
7,Set,2018,31.8,33.2,32.11,32.87,36.07,39.7,0.56,1.16,7.31,8.31
10,Set,2018,31.8,33.2,32.1,32.95,35.88,39.48,0.6,1.2,7.43,8.43
11,Set,2018,32.15,33.55,32.5,33.2,36.39,40.03,0.6,1.2,7.45,8.45
12,Set,2018,32.16,33.56,32.6,33.11,36.37,40,0.58,1.18,7.33,8.33
13,Set,2018,32.15,33.55,32.55,33.18,36.49,40.13,0.57,1.17,7.37,8.37
14,Set,2018,32.27,33.67,32.66,33.3,36.81,40.47,0.55,1.15,7.29,8.29
17,Set,2018,32.45,33.85,32.78,33.52,36.83,40.49,0.55,1.15,7.38,8.38
18,Set,2018,32.45,33.85,32.84,33.46,37,40.69,0.56,1.16,7.44,8.44
19,Set,2018,32.42,33.82,32.81,33.43,36.9,40.57,0.55,1.15,7.44,8.44
20,Set,2018,32.39,33.79,32.77,33.39,36.91,40.58,0.56,1.16,7.45,8.45
21,Set,2018,32.13,33.53,32.49,33.15,36.93,40.62,0.58,1.18,7.48,8.48
24,Set,2018,32.07,33.47,32.46,33.08,36.76,40.44,0.6,1.2,7.53,8.53
25,Set,2018,32.08,33.48,32.48,33.1,36.81,40.49,0.6,1.2,7.43,8.43
26,Set,2018,32.35,33.75,32.72,33.35,37.15,40.85,0.58,1.18,7.52,8.52
27,Set,2018,32.3,33.7,32.68,33.3,37.06,40.77,0.57,1.17,7.6,8.6
28,Set,2018,32.37,33.78,32.75,33.4,36.83,40.52,0.55,1.15,7.7,8.7
1,Oct,2018,32.55,33.95,32.9,33.63,36.88,40.55,0.52,1.12,7.65,8.65
2,Oct,2018,32.48,33.88,32.88,33.5,36.7,40.35,0.56,1.16,7.68,8.68
3,Oct,2018,32.13,33.53,32.52,33.14,36.2,39.82,0.58,1.18,7.78,8.78
4,Oct,2018,32.2,33.6,32.56,33.24,36.17,39.79,0.59,1.19,7.84,8.84
5,Oct,2018,32.34,33.74,32.72,33.36,36.34,39.96,0.58,1.18,7.88,8.88
8,Oct,2018,32.36,33.76,32.75,33.37,36.41,40.03,0.59,1.19,7.97,8.97
9,Oct,2018,32.17,33.57,32.56,33.18,36.08,39.68,0.6,1.2,8.14,9.14
10,Oct,2018,32.1,33.5,32.48,33.12,36.01,39.61,0.6,1.2,8.24,9.24
11,Oct,2018,32.3,33.7,32.7,33.32,36.33,39.95,0.61,1.21,8.19,9.19
12,Oct,2018,32.28,33.68,32.66,33.29,36.52,40.16,0.62,1.22,8.15,9.15
16,Oct,2018,32.24,33.64,32.52,33.36,36.39,40.01,0.62,1.22,8.12,9.12
17,Oct,2018,32.15,33.55,32.54,33.16,36.33,39.97,0.64,1.24,8.22,9.22
18,Oct,2018,32.07,33.47,32.45,33.09,36.01,39.61,0.63,1.23,8.31,9.31
19,Oct,2018,32.12,33.52,32.52,33.13,35.93,39.53,0.61,1.21,8.25,9.25
22,Oct,2018,32.15,33.55,32.54,33.16,36.11,39.72,0.62,1.22,8.25,9.25
23,Oct,2018,32.07,33.47,32.47,33.08,35.9,39.5,0.62,1.22,8.29,9.29
24,Oct,2018,32.15,33.55,32.54,33.16,36,39.59,0.62,1.22,8.29,9.29
25,Oct,2018,32.21,33.61,32.6,33.22,35.81,39.38,0.61,1.21,8.23,9.23
26,Oct,2018,32.19,33.59,32.58,33.2,35.7,39.27,0.61,1.21,8.3,9.3
29,Oct,2018,32.17,33.57,32.46,33.28,32.17,33.57,0.61,1.21,8.4,9.4
30,Oct,2018,32.11,33.51,32.5,33.12,32.5,33.12,0.61,1.21,8.24,9.24
31,Oct,2018,32.12,33.52,32.51,33.13,35.56,39.11,0.61,1.21,8.26,9.26
1,Nov,2018,32.13,33.53,32.52,33.14,35.5,39.05,0.64,1.24,8.27,9.27
5,Nov,2018,32.1,33.5,32.39,33.21,35.74,39.33,0.64,1.24,8.3,9.3
6,Nov,2018,32.06,33.46,32.45,33.07,35.74,39.31,0.64,1.24,8.2,9.2
7,Nov,2018,32.06,33.46,32.45,33.07,35.71,39.29,0.64,1.24,8.12,9.12
8,Nov,2018,32,33.4,32.28,33.02,35.76,39.35,0.64,1.24,8.15,9.15
9,Nov,2018,31.9,33.3,32.29,32.91,35.42,38.97,0.64,1.24,8.11,9.11
12,Nov,2018,31.83,33.23,32.12,32.94,35.2,38.74,0.64,1.24,8.11,9.11
13,Nov,2018,31.87,33.27,32.26,32.88,34.96,38.46,0.64,1.24,8.08,9.08
14,Nov,2018,32.05,33.45,32.45,33.08,35.21,38.73,0.63,1.23,7.97,8.97
15,Nov,2018,32.02,33.42,32.41,33.03,35.35,38.88,0.63,1.23,8.05,9.05
16,Nov,2018,31.9,33.3,32.28,32.92,35.25,38.78,0.62,1.22,8.02,9.02
19,Nov,2018,31.78,33.18,32.07,32.89,35.39,38.95,0.62,1.22,8.09,9.09
20,Nov,2018,31.8,33.2,32.19,32.81,35.54,39.12,0.63,1.23,8.05,9.05
21,Nov,2018,31.8,33.2,32.19,32.81,35.27,38.81,0.62,1.22,8.06,9.06
22,Nov,2018,31.79,33.19,32.17,32.79,35.34,38.88,0.62,1.22,7.96,8.96
23,Nov,2018,31.68,33.08,32.06,32.7,35.26,38.81,0.61,1.21,7.91,8.91
26,Nov,2018,31.7,33.1,31.99,32.81,35.05,38.57,0.58,1.18,7.89,8.89
27,Nov,2018,31.8,33.2,32.2,32.82,35.17,38.7,0.55,1.15,7.7,8.7
28,Nov,2018,31.77,33.17,32.16,32.78,35.03,38.55,0.56,1.16,7.8,8.8
29,Nov,2018,31.58,32.98,31.86,32.7,35.08,38.61,0.56,1.16,7.82,8.82
30,Nov,2018,31.37,32.77,31.77,32.39,34.82,38.34,0.57,1.17,7.73,8.73
3,Dic,2018,31.48,32.88,31.76,32.6,34.76,38.27,0.57,1.17,7.76,8.76
4,Dic,2018,31.23,32.63,31.62,32.24,34.58,38.09,0.59,1.19,7.73,8.73
5,Dic,2018,31.3,32.7,31.69,32.31,34.64,38.15,0.58,1.18,7.71,8.71
6,Dic,2018,31.33,32.73,31.72,32.34,34.69,38.2,0.57,1.17,7.7,8.7
7,Dic,2018,31.41,32.81,31.8,32.42,34.91,38.44,0.57,1.17,7.69,8.69
10,Dic,2018,31.41,32.81,31.7,32.52,34.98,38.51,0.58,1.18,7.66,8.66
11,Dic,2018,31.49,32.89,31.88,32.5,34.79,38.41,0.57,1.17,7.63,8.63
12,Dic,2018,31.49,32.89,31.88,32.5,34.79,38.3,0.57,1.17,7.64,8.64
13,Dic,2018,31.52,32.92,31.92,32.53,34.96,38.48,0.58,1.18,7.77,8.77
14,Dic,2018,31.56,32.96,31.96,32.57,35,38.52,0.57,1.17,7.72,8.72
17,Dic,2018,31.57,32.97,31.86,32.68,34.82,38.34,0.56,1.16,7.69,8.69
18,Dic,2018,31.52,32.92,31.91,32.53,34.94,38.46,0.56,1.16,7.68,8.68
19,Dic,2018,31.5,32.9,31.89,32.51,34.97,38.49,0.56,1.16,7.67,8.67
20,Dic,2018,31.52,32.92,31.86,32.58,35.05,38.58,0.56,1.16,7.71,8.71
21,Dic,2018,31.53,32.93,31.92,32.54,35.31,38.87,0.57,1.17,7.78,8.78
24,Dic,2018,31.54,32.94,31.83,32.65,34.99,38.52,0.57,1.17,7.69,8.69
26,Dic,2018,31.55,32.95,31.86,32.64,35.18,38.72,0.57,1.17,7.68,8.68
27,Dic,2018,31.6,33,32,32.62,35.05,38.57,0.56,1.16,7.65,8.65
28,Dic,2018,31.65,33.05,32.04,32.66,35.36,38.93,0.56,1.16,7.73,8.73
31,Dic,2018,31.7,33.1,32,32.82,35.39,38.96,0.58,1.18,7.76,9.06
2,Ene,2019,31.65,33.05,32.2,32.62,35.13,38.66,0.57,1.17,7.83,9.13
3,Ene,2019,31.75,33.15,32.1,32.82,35.11,38.63,0.58,1.18,7.93,9.23
4,Ene,2019,31.74,33.14,32.14,32.75,35.31,38.86,0.59,1.19,8.04,9.34
7,Ene,2019,31.8,33.2,32.2,32.82,35.38,38.94,0.59,1.19,8.15,9.45
8,Ene,2019,31.8,33.2,32.2,32.81,35.63,39.21,0.59,1.19,8.11,9.41
9,Ene,2019,31.86,33.26,32.25,32.88,35.58,39.15,0.59,1.19,8.17,9.47
10,Ene,2019,31.91,33.31,32.31,32.93,35.95,39.56,0.59,1.19,8.27,9.57
11,Ene,2019,32.1,33.5,32.5,33.11,36.04,39.65,0.6,1.2,8.25,9.55
14,Ene,2019,32.06,33.46,32.46,33.07,35.89,39.49,0.61,1.21,8.23,9.53
15,Ene,2019,31.92,33.32,32.3,32.92,35.73,39.31,0.6,1.2,8.22,9.52
16,Ene,2019,31.97,33.37,32.32,33.03,35.56,39.12,0.6,1.2,8.17,9.47
17,Ene,2019,31.96,33.36,32.31,33.02,35.57,39.15,0.59,1.19,8.16,9.46
18,Ene,2019,31.94,33.34,32.28,32.99,35.49,39.06,0.58,1.18,8.12,9.42
21,Ene,2019,31.91,33.31,32.25,32.97,35.39,38.95,0.59,1.19,8.09,9.39
22,Ene,2019,31.9,33.3,32.29,32.91,35.39,38.95,0.58,1.18,8.08,9.38
23,Ene,2019,31.92,33.32,32.33,32.95,35.41,38.96,0.59,1.19,7.98,9.28
24,Ene,2019,31.88,33.28,32.27,32.89,35.43,38.99,0.59,1.19,8.07,9.37
25,Ene,2019,31.89,33.29,32.28,32.9,35.14,38.67,0.59,1.19,8.05,9.35
28,Ene,2019,31.89,33.29,32.23,32.95,35.5,39.07,0.6,1.2,8.05,9.35
29,Ene,2019,31.88,33.28,32.27,32.89,35.57,39.14,0.6,1.2,8.06,9.36
30,Ene,2019,31.84,33.24,32.23,32.85,35.51,39.09,0.58,1.18,8.15,9.45
31,Ene,2019,31.86,33.26,32.25,32.87,35.65,39.23,0.59,1.19,8.2,9.5
1,Feb,2019,31.79,33.19,32.18,32.8,35.49,39.07,0.59,1.19,8.29,9.59
4,Feb,2019,31.78,33.18,32.12,32.84,35.53,39.11,0.59,1.19,8.28,9.58
5,Feb,2019,31.76,33.16,32.15,32.77,35.44,39.02,0.59,1.19,8.25,9.55
6,Feb,2019,31.77,33.17,32.16,32.78,35.38,38.95,0.59,1.19,8.26,9.56
7,Feb,2019,31.84,33.24,32.24,32.85,35.31,38.86,0.59,1.19,8.19,9.49
8,Feb,2019,31.88,33.28,32.27,32.89,35.32,38.86,0.58,1.18,8.17,9.47
11,Feb,2019,31.86,33.26,32.2,32.92,35.21,38.75,0.58,1.18,8.14,9.44
12,Feb,2019,31.89,33.29,32.28,32.9,35.08,38.6,0.58,1.18,8.07,9.37
13,Feb,2019,31.87,33.27,32.26,32.88,35.26,38.8,0.58,1.18,8.18,9.48
14,Feb,2019,31.89,33.29,32.27,32.89,35.09,38.61,0.57,1.17,8.09,9.39
15,Feb,2019,31.88,33.28,32.27,32.89,35.16,38.69,0.57,1.17,8.17,9.47
18,Feb,2019,31.9,33.3,32.24,32.96,35.18,38.7,0.56,1.16,8.2,9.5
19,Feb,2019,31.91,33.31,32.3,32.92,35.21,38.74,0.56,1.16,8.15,9.45
20,Feb,2019,31.94,33.34,32.33,32.95,35.37,38.92,0.55,1.15,8.22,9.52
21,Feb,2019,31.97,33.37,32.36,32.98,35.44,39,0.54,1.14,8.2,9.5
22,Feb,2019,31.97,33.37,32.35,32.98,35.35,38.91,0.54,1.14,8.11,9.41
25,Feb,2019,31.96,33.36,32.3,33.02,35.38,38.94,0.55,1.15,8.14,9.44
26,Feb,2019,31.93,33.33,32.32,32.94,35.4,38.95,0.55,1.15,8.14,9.44
27,Feb,2019,31.94,33.34,32.33,32.95,35.5,39.06,0.56,1.16,8.1,9.4
28,Feb,2019,31.98,33.38,32.37,32.99,35.49,39.04,0.56,1.16,8.17,9.47
1,Mar,2019,31.95,33.35,32.34,32.96,35.48,39.05,0.55,1.15,8.13,9.43
6,Mar,2019,31.96,33.36,32.25,33.07,35.42,38.98,0.54,1.14,8.05,9.35
7,Mar,2019,32.01,33.41,32.4,33.02,35.32,38.86,0.52,1.12,7.94,9.24
8,Mar,2019,32.3,33.7,32.63,33.39,35.35,38.88,0.49,1.09,7.89,9.19
11,Mar,2019,32.4,33.8,32.69,33.52,35.54,39.09,0.52,1.12,7.96,9.26
12,Mar,2019,32.4,33.8,32.8,33.45,35.55,39.09,0.52,1.12,8.03,9.33
13,Mar,2019,32.45,33.85,32.77,33.53,35.77,39.34,0.51,1.11,8.11,9.41
14,Mar,2019,32.7,34.1,33.05,33.77,36.14,39.74,0.53,1.13,8.18,9.48
15,Mar,2019,32.85,34.25,33.19,33.91,36.23,39.82,0.54,1.14,8.14,9.44
18,Mar,2019,32.77,34.17,33.06,33.88,36.21,39.8,0.55,1.15,8.18,9.48
19,Mar,2019,32.68,34.08,33.02,33.74,36.16,39.76,0.55,1.15,8.22,9.52
20,Mar,2019,32.55,33.95,32.87,33.63,36.06,39.65,0.54,1.14,8.2,9.5
21,Mar,2019,32.61,34.01,32.95,33.67,36.39,40.02,0.53,1.13,8.3,9.6
22,Mar,2019,32.68,34.08,33.02,33.74,36.22,39.82,0.53,1.13,8.2,9.5
25,Mar,2019,32.9,34.3,33.17,34,36.28,39.87,0.52,1.12,8.03,9.33
26,Mar,2019,32.8,34.2,33.12,33.85,36.22,39.81,0.51,1.11,8.09,9.39
27,Mar,2019,32.75,34.15,33.1,33.83,36.06,39.64,0.5,1.1,8.07,9.37
28,Mar,2019,33.1,34.5,33.39,34.21,36.37,39.97,0.48,1.08,7.97,9.27
29,Mar,2019,32.95,34.35,33.23,34.05,36.1,39.68,0.49,1.09,8.01,9.31
1,Abr,2019,32.77,34.17,33.06,33.88,35.89,39.45,0.49,1.09,7.97,9.27
2,Abr,2019,32.77,34.17,33.1,33.84,35.85,39.4,0.5,1.1,8.05,9.35
3,Abr,2019,32.95,34.35,33.26,34,36,39.57,0.5,1.1,8.14,9.44
4,Abr,2019,33.05,34.45,33.43,34.15,36.26,39.83,0.5,1.1,8.13,9.43
5,Abr,2019,32.95,34.35,33.28,34,36.09,39.66,0.49,1.09,8.14,9.44
8,Abr,2019,33.03,34.43,33.32,34.14,36.16,39.73,0.48,1.08,8.13,9.43
9,Abr,2019,33.1,34.5,33.45,34.17,36.39,39.97,0.49,1.09,8.19,9.49
10,Abr,2019,33.27,34.67,33.61,34.33,36.57,40.18,0.5,1.1,8.22,9.52
11,Abr,2019,33.25,34.65,33.57,34.33,36.59,40.2,0.5,1.1,8.26,9.56
12,Abr,2019,33.45,34.85,33.78,34.5,36.75,40.35,0.51,1.11,8.26,9.56
23,Abr,2019,33.65,35.05,33.93,34.77,37.1,40.74,0.54,1.14,8.15,9.45
24,Abr,2019,33.7,35.1,34.01,34.75,36.89,40.5,0.53,1.13,8.18,9.48
25,Abr,2019,33.82,35.22,34.16,34.88,36.79,40.38,0.5,1.1,8.06,9.36
26,Abr,2019,33.95,35.35,34.3,35.02,36.88,40.48,0.5,1.1,8.18,9.48
29,Abr,2019,34.07,35.47,34.36,35.18,37.08,40.7,0.49,1.09,8.25,9.55
