Día,Mes,Año,Dolar_Compra,Dolar_Venta,EBORU_Dolar_Compra,EBORU_Dolar_Venta,Euro_Compra,Euro_Venta,Arg_Compra,Arg_Venta,Br_Compra,Br_Venta
4,Abr,2017,28.07,28.93,28.23,28.75,29.28,31.54,1.55,2.05,8.75,9.55
5,Abr,2017,28.11,28.97,28.28,28.8,29.35,31.6,1.56,2.06,8.82,9.62
6,Abr,2017,28.16,28.91,28.3,28.76,29.39,31.52,1.56,2.06,8.84,9.64
7,Abr,2017,28.09,28.79,28.23,28.7,29.26,31.33,1.55,2.05,8.65,9.45
18,Abr,2017,28.17,28.88,28.26,28.78,29.2,31.29,1.58,2.08,8.64,9.44
19,Abr,2017,28.1,28.8,28.25,28.62,29.5,31.6,1.56,2.06,8.74,9.54
20,Abr,2017,28.1,28.8,28.24,28.63,29.46,31.54,1.55,2.05,8.67,9.47
21,Abr,2017,28.12,28.82,28.28,28.67,29.5,31.59,1.55,2.05,8.62,9.42
24,Abr,2017,28.11,28.81,28.28,28.64,29.42,31.5,1.54,2.04,8.64,9.44
25,Abr,2017,28,28.7,28.11,28.54,29.75,31.85,1.54,2.04,8.65,9.45
26,Abr,2017,27.85,28.55,28,28.39,29.79,31.9,1.53,2.03,8.55,9.35
27,Abr,2017,27.75,28.45,27.91,28.3,29.58,31.68,1.52,2.02,8.43,9.23
28,Abr,2017,27.78,28.42,27.91,28.29,29.57,31.6,1.53,2.03,8.45,9.25
2,May,2017,27.8,28.44,27.94,28.31,29.65,31.68,1.53,2.03,8.46,9.26
3,May,2017,27.78,28.42,27.91,28.3,29.69,31.74,1.54,2.04,8.52,9.32
4,May,2017,27.69,28.35,27.83,28.21,29.54,31.6,1.54,2.04,8.5,9.3
5,May,2017,27.62,28.28,27.75,28.15,29.67,31.73,1.53,2.03,8.43,9.13
8,May,2017,27.49,28.16,27.64,28.03,29.55,31.63,1.51,2.01,8.41,9.11
9,May,2017,27.7,28.37,27.84,28.22,29.62,31.7,1.52,2.02,8.41,9.11
10,May,2017,27.76,28.43,29.52,31.59,29.52,31.59,1.52,2.02,8.47,9.17
11,May,2017,27.71,28.39,27.84,28.24,29.46,31.53,1.51,2.01,8.52,9.22
12,May,2017,27.7,28.38,27.86,28.23,29.45,31.52,1.52,2.02,8.55,9.25
15,May,2017,27.63,28.31,27.8,28.17,29.53,31.62,1.52,2.02,8.6,9.3
16,May,2017,27.72,28.4,27.87,28.25,29.77,31.87,1.51,2.01,8.69,9.39
17,May,2017,27.72,28.4,27.88,28.25,30.09,32.21,1.51,2.01,8.71,9.41
18,May,2017,27.76,28.42,27.91,28.28,30.28,32.38,1.5,2,8.64,9.34
19,May,2017,27.98,28.78,30.41,32.69,30.41,32.69,1.48,1.98,8.02,8.72
23,May,2017,27.82,28.62,27.98,28.4,30.5,32.78,1.47,1.97,8.31,9.01
24,May,2017,27.87,28.56,28.02,28.41,30.49,32.64,1.46,1.96,8.29,8.99
25,May,2017,27.84,28.53,27.97,28.36,30.53,32.68,1.46,1.96,8.28,8.98
26,May,2017,27.91,28.56,28.04,28.42,30.6,32.71,1.46,1.96,8.23,8.93
29,May,2017,27.91,28.56,28.05,28.42,30.52,32.62,1.47,1.97,8.3,9
30,May,2017,27.89,28.57,28.05,28.42,30.49,32.62,1.47,1.97,8.27,8.97
31,May,2017,27.9,28.58,28.04,28.44,30.54,32.69,1.45,1.95,8.31,9.01
1,Jun,2017,27.92,28.6,28.13,28.52,30.7,32.85,1.46,1.96,8.38,9.08
2,Jun,2017,28,28.65,28.13,28.51,30.72,32.84,1.47,1.97,8.36,9.06
5,Jun,2017,27.98,28.63,28.12,28.49,30.87,33,1.47,1.97,8.35,9.05
6,Jun,2017,28.03,28.68,28.16,28.57,30.87,33,1.48,1.98,8.27,8.97
7,Jun,2017,28.12,28.77,28.25,28.64,31.01,33.15,1.48,1.98,8.33,9.03
8,Jun,2017,28.17,28.85,28.32,28.69,31.02,33.19,1.49,1.99,8.35,9.05
9,Jun,2017,28.17,28.85,28.31,28.69,30.92,33.08,1.5,2,8.37,9.07
12,Jun,2017,28.12,28.83,28.28,28.66,30.81,32.99,1.5,2,8.32,9.02
13,Jun,2017,28.02,28.72,28.17,28.57,30.64,32.99,1.49,1.99,8.21,8.91
14,Jun,2017,28,28.7,28.16,28.55,30.61,32.98,1.49,1.99,8.22,8.92
15,Jun,2017,27.95,28.63,28.09,28.5,30.57,32.9,1.49,1.99,8.27,8.97
16,Jun,2017,27.94,28.63,28.08,28.48,30.4,32.74,1.48,1.98,8.29,8.99
20,Jun,2017,27.89,28.64,28.07,28.46,30.46,32.86,1.47,1.97,8.25,8.95
21,Jun,2017,27.9,28.75,28.06,28.58,30.29,32.8,1.46,1.96,8.14,8.84
22,Jun,2017,27.92,28.78,28.1,28.6,30.4,32.94,1.46,1.96,8.16,8.86
23,Jun,2017,27.9,28.81,28.1,28.61,30.37,32.95,1.46,1.96,8.13,8.83
26,Jun,2017,27.87,28.81,28.08,28.6,30.44,33.07,1.46,1.96,8.14,8.84
27,Jun,2017,27.82,28.82,28.07,28.58,30.34,33.04,1.44,1.94,8.23,8.93
28,Jun,2017,27.82,28.82,28.1,28.64,30.79,33.53,1.44,1.94,8.17,8.87
29,Jun,2017,27.88,28.88,28.18,28.59,30.95,33.69,1.43,1.93,8.29,8.99
30,Jun,2017,27.91,28.95,28.16,28.7,31.13,33.94,1.43,1.93,8.26,8.96
3,Jul,2017,27.95,29.05,28.25,28.8,31.13,34.01,1.42,1.92,8.27,8.97
